Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-14,170.85440063476562,180.00091552734375,166.6953887939453,172.9490966796875,1960141206,0,0
2021-06-15,178.63372802734375,181.04803466796875,172.44073486328125,178.659423828125,2459814443,0,0
2021-06-16,175.3293914794922,177.2010040283203,164.9956817626953,166.4589385986328,2211208641,0,0
2021-06-17,166.6033172607422,173.25112915039062,163.58920288085938,167.05569458007812,2010202177,0,0
2021-06-18,167.23403930664062,167.37890625,152.0054931640625,156.3556365966797,2163514007,0,0
2021-06-19,156.55419921875,160.82736206054688,152.93783569335938,153.2954559326172,1718599931,0,0
2021-06-20,153.0144500732422,156.2391815185547,144.31533813476562,155.09259033203125,1958671063,0,0
2021-06-21,154.97198486328125,155.49322509765625,124.249267578125,124.78646087646484,2929287425,0,0
2021-06-22,124.59527587890625,132.62332153320312,105.56629180908203,119.6026840209961,3728601207,0,0
2021-06-23,119.67530822753906,133.59461975097656,115.95838165283203,128.67498779296875,2863227875,0,0
2021-06-24,129.06080627441406,137.175537109375,123.95979309082031,134.48460388183594,1897169523,0,0
2021-06-25,134.59622192382812,138.11972045898438,124.58116912841797,125.687744140625,1912813174,0,0
2021-06-26,125.3934326171875,129.3040771484375,119.02980041503906,126.65725708007812,2064657166,0,0
2021-06-27,126.89379119873047,132.47605895996094,125.09052276611328,132.34788513183594,1804264433,0,0
2021-06-28,132.5926971435547,139.47433471679688,130.3041534423828,137.370849609375,1877529989,0,0
2021-06-29,137.61309814453125,149.09628295898438,137.42349243164062,143.70291137695312,2182136698,0,0
2021-06-30,144.05044555664062,146.67156982421875,136.4293212890625,144.13583374023438,1889869747,0,0
2021-07-01,144.1366424560547,144.1366424560547,134.40602111816406,137.57752990722656,1681324823,0,0
2021-07-02,137.2992706298828,138.78770446777344,130.9354705810547,136.94369506835938,1418980649,0,0
2021-07-03,136.9305877685547,141.35601806640625,134.94528198242188,140.27969360351562,1236493834,0,0
2021-07-04,140.3179931640625,147.8360595703125,137.09642028808594,144.90585327148438,1431656519,0,0
2021-07-05,144.84933471679688,144.84933471679688,134.96026611328125,138.0732421875,1338245545,0,0
2021-07-06,137.95167541503906,142.7035675048828,135.92483520507812,138.9856414794922,1504907480,0,0
2021-07-07,138.9601593017578,142.90057373046875,137.18386840820312,137.3712158203125,1594183502,0,0
2021-07-08,137.5182647705078,137.67222595214844,128.44664001464844,132.30850219726562,1654154836,0,0
2021-07-09,132.1701202392578,135.73353576660156,126.36164855957031,134.57159423828125,1578256301,0,0
2021-07-10,134.65133666992188,136.7248077392578,130.92250061035156,133.98728942871094,1301165252,0,0
2021-07-11,133.98126220703125,136.4457244873047,132.24530029296875,134.24583435058594,1267259648,0,0
2021-07-12,134.29124450683594,139.66526794433594,132.155029296875,133.5381317138672,1658972857,0,0
2021-07-14,131.1614532470703,131.63145446777344,130.34317016601562,130.34317016601562,1402038400,0,0
