Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-14,6.049759864807129,6.333209037780762,5.825899124145508,6.03755521774292,134462139,0,0
2021-06-15,6.331958770751953,6.858712196350098,6.142807960510254,6.58910608291626,204472543,0,0
2021-06-16,6.583996772766113,6.583996772766113,5.971930027008057,6.174939155578613,166808855,0,0
2021-06-17,6.169561862945557,6.422601222991943,6.048329830169678,6.154644012451172,109323682,0,0
2021-06-18,6.162753105163574,6.5636091232299805,5.702287197113037,5.917374134063721,189653850,0,0
2021-06-19,5.957265853881836,6.04964017868042,5.670280933380127,5.763191223144531,87385336,0,0
2021-06-20,5.741695880889893,5.903253078460693,5.384513854980469,5.891520023345947,100160797,0,0
2021-06-21,5.867648124694824,5.908848762512207,4.783134937286377,4.842235088348389,168231734,0,0
2021-06-22,4.838150978088379,5.4664812088012695,4.5547308921813965,4.711923122406006,232338703,0,0
2021-06-23,4.7288689613342285,5.759748935699463,4.6216630935668945,5.252572059631348,251455354,0,0
2021-06-24,5.194718837738037,5.593686103820801,5.007866859436035,5.454391956329346,128940722,0,0
2021-06-25,5.476600170135498,5.588769912719727,4.857170104980469,5.06310510635376,127850189,0,0
2021-06-26,5.061682224273682,5.290133953094482,4.899127006530762,5.2019171714782715,90911214,0,0
2021-06-27,5.207405090332031,5.444174766540527,5.078514099121094,5.400850772857666,61395305,0,0
2021-06-28,5.411394119262695,5.674505233764648,5.206736087799072,5.529632091522217,97981847,0,0
2021-06-29,5.534818172454834,6.323178768157959,5.405177116394043,5.986422061920166,162411527,0,0
2021-06-30,6.016992092132568,6.6614460945129395,5.686498165130615,6.522355079650879,203181106,0,0
2021-07-01,6.562956809997559,6.562956809997559,5.730963230133057,5.921539783477783,147730003,0,0
2021-07-02,5.904682159423828,6.085221767425537,5.514288902282715,5.726226806640625,100187571,0,0
2021-07-03,5.712221145629883,5.97274923324585,5.620083808898926,5.809141159057617,67005725,0,0
2021-07-04,5.806914806365967,6.223239898681641,5.6615447998046875,5.973340034484863,104616232,0,0
2021-07-05,5.9689860343933105,6.189009189605713,5.61714506149292,6.037942886352539,115732685,0,0
2021-07-06,6.0319437980651855,6.561645984649658,5.988766193389893,6.530279159545898,206150167,0,0
2021-07-07,6.529883861541748,7.691539764404297,6.457963943481445,7.090137004852295,378084014,0,0
2021-07-08,7.1047539710998535,7.201594829559326,6.42676305770874,6.703923225402832,259627650,0,0
2021-07-09,6.706905841827393,8.398432731628418,6.444037914276123,8.093796730041504,479254125,0,0
2021-07-10,8.095372200012207,8.570286750793457,7.506577968597412,7.895116806030273,322138063,0,0
2021-07-11,7.892949104309082,8.719226837158203,7.892949104309082,8.422262191772461,311316373,0,0
2021-07-12,8.436796188354492,8.543068885803223,7.565327167510986,7.891665935516357,218483711,0,0
2021-07-14,7.104694366455078,7.140447616577148,7.021832466125488,7.021832466125488,188785600,0,0
