Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-14,49.210872650146484,51.67655563354492,48.42789840698242,50.5247802734375,430733359,0,0
2021-06-15,50.979522705078125,51.967201232910156,49.22100067138672,51.17268753051758,485103631,0,0
2021-06-16,50.185264587402344,51.1161994934082,47.622039794921875,48.614505767822266,392390748,0,0
2021-06-17,48.65747833251953,50.63360595703125,47.750579833984375,48.6341552734375,333809419,0,0
2021-06-18,48.648311614990234,48.648311614990234,44.28129959106445,45.36358642578125,326896306,0,0
2021-06-19,45.46171569824219,46.56452560424805,44.45404815673828,44.65998077392578,234060996,0,0
2021-06-20,44.55451965332031,45.14582443237305,40.889896392822266,44.80089569091797,347554571,0,0
2021-06-21,44.70914840698242,44.89763259887695,31.968591690063477,31.99873161315918,546575944,0,0
2021-06-22,32.04624938964844,34.33995819091797,26.067033767700195,30.006364822387695,717572761,0,0
2021-06-23,30.098264694213867,34.97462463378906,28.71047019958496,33.00313949584961,553041210,0,0
2021-06-24,33.519805908203125,35.42100143432617,31.66550064086914,34.92511749267578,313359710,0,0
2021-06-25,34.96469497680664,35.89883041381836,30.728349685668945,31.404714584350586,336945640,0,0
2021-06-26,31.31540298461914,32.58926773071289,29.383033752441406,31.113155364990234,357286837,0,0
2021-06-27,31.17414665222168,32.43428039550781,29.61714744567871,31.948461532592773,455043701,0,0
2021-06-28,31.949541091918945,33.299705505371094,30.607065200805664,33.08866882324219,487211555,0,0
2021-06-29,33.129112243652344,36.90959167480469,33.029502868652344,34.91472244262695,580666918,0,0
2021-06-30,35.108280181884766,37.70612335205078,33.47935104370117,36.58042907714844,616643026,0,0
2021-07-01,36.517181396484375,36.540164947509766,33.43941879272461,34.2446403503418,369270473,0,0
2021-07-02,34.175819396972656,35.49274444580078,33.432029724121094,35.49274444580078,364359110,0,0
2021-07-03,35.420677185058594,37.517723083496094,34.968257904052734,36.34290313720703,399010640,0,0
2021-07-04,36.33737564086914,38.64934158325195,35.474029541015625,37.44910430908203,385269786,0,0
2021-07-05,37.48047637939453,37.48047637939453,35.24637222290039,35.9758415222168,364829218,0,0
2021-07-06,35.99514389038086,37.94468307495117,35.94064712524414,36.914695739746094,318835839,0,0
2021-07-07,36.89447021484375,38.4195556640625,36.527645111083984,36.94535446166992,337498634,0,0
2021-07-08,37.008060455322266,37.02598190307617,33.276710510253906,34.06892013549805,397556460,0,0
2021-07-09,34.02168655395508,35.2164192199707,32.34960174560547,34.71220016479492,358888472,0,0
2021-07-10,34.72071838378906,35.433494567871094,33.39842224121094,34.108524322509766,292655264,0,0
2021-07-11,34.09125518798828,34.760475158691406,33.50893020629883,34.21989822387695,278660764,0,0
2021-07-12,34.24693298339844,35.27083969116211,32.84745788574219,33.865234375,319719789,0,0
2021-07-14,33.31243133544922,33.50015640258789,33.18400192260742,33.18400192260742,284495744,0,0
